id;title;year;total value;property value;tickets value;advertising value;touringvalue;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare
7707086767;"ГБУК ""МГАТО""";2024;1 204 714 217;1 219 779;1 194 083 542;0;0;1;0,001012505;0,991175771;0;0;1;0,04656;0,79098;0,006682;0,033838
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";2024;393 132 614;41 703 480;303 428 579;563 280;16 200 000;1;0,106079931;0,771822454;0,001432799;0,041207469;1;0,04656;0,79098;0,006682;0,033838
7703014835;"ГБУК ""Московский театр ""На досках""";2024;5 289 150;0;3 234 200;0;0;1;0;0,611478222;0;0;1;0,04656;0,79098;0,006682;0,033838
7701020760;"ГБУК ""МТК ""Жар-птица""";2024;2 941 187;0;1 701 149;0;0;1;0;0,578388552;0;0;1;0,04656;0,79098;0,006682;0,033838
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";2024;55 201 376;6 836 579;21 290 699;0;0;1;0,123847976;0,385691462;0;0;1;0,04656;0,79098;0,006682;0,033838
7707120908;"ГБУК г. Москвы ""ДМТЮА""";2024;122 590 784;0;111 620 692;0;177 100;1;0;0,910514546;0;0,001444644;1;0,04656;0,79098;0,006682;0,033838
7710081367;"ГБУК г. Москвы ""МАМТ""";2024;909 456 802;39 693 170;787 892 631;0;4 583 978;1;0,04364492;0,86633321;0;0,005040347;1;0,04656;0,79098;0,006682;0,033838
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";2024;311 070 990;0;22 473 042;0;204 066 614;1;0;0,072244095;0;0,656013002;1;0,04656;0,79098;0,006682;0,033838
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";2024;360 448 300;36 015 625;183 485 199;1 053 900;29 278 295;1;0,099918975;0,509047205;0,002923859;0,081227446;1;0,04656;0,79098;0,006682;0,033838
7716149741;"ГБУК г. Москвы ""МГИЭТ""";2024;16 868 789;444 720;16 172 325;0;0;1;0,026363481;0,958712868;0;0;1;0,04656;0,79098;0,006682;0,033838
7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";2024;13 420 159;121 652;13 315 163;0;0;1;0,00906488;0,992176239;0;0;1;0,04656;0,79098;0,006682;0,033838
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";2024;233 238 349;3 050 568;229 246 212;0;0;1;0,013079185;0,982883874;0;0;1;0,04656;0,79098;0,006682;0,033838
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";2024;542 447 720;13 190 813;496 961 068;4 500 000;11 838 300;1;0,024317206;0,916145555;0,00829573;0,021823854;1;0,04656;0,79098;0,006682;0,033838
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";2024;299 371 445;47 553 918;21 267 110;0;500 000;1;0,15884587;0,071039205;0;0,001670166;1;0,04656;0,79098;0,006682;0,033838
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";2024;89 669 699;22 081 128;55 964 087;10 208 000;1 038 940;1;0,24624961;0,624113688;0,113840016;0,0115863;1;0,04656;0,79098;0,006682;0,033838
7719013636;"ГБУК г. Москвы ""МДТТ""";2024;24 065 619;0;24 001 092;0;0;1;0;0,997318711;0;0;1;0,04656;0,79098;0,006682;0,033838
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";2024;395 755 952;30 866 026;225 768 164;0;800 000;1;0,077992576;0,570473199;0;0,002021448;1;0,04656;0,79098;0,006682;0,033838
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";2024;11 182 840;0;11 183 420;0;0;1;0;1,000051865;0;0;1;0,04656;0,79098;0,006682;0,033838
