year;id;title;total value;property value;tickets value;advertising value;touring value;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare;
2025;7723316672;"ГБУК г. Москвы ""Театр Стаса Намина""";46 716 256,28 ;0,00 ;35 269 398,72 ;0,00 ;0,00 ;0,116208773;0;0,087734204;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7725054895;"ГБУК г. Москвы ""Театр Терезы Дуровой""";175 903 300,29 ;0,00 ;169 928 225,00 ;1 560 882,00 ;4 351 361,61 ;0,437567311;0;0,422704044;0,003882764;0,010824206;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707085202;"ГБУК г. Москвы ""Театр Эрмитаж""";70 858 548,03 ;0,00 ;66 663 266,18 ;0,00 ;0,00 ;0,176263801;0;0,16582785;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7730116466;"ГБУК г. Москвы ""ФЦ ""Москва""";41 329 885,52 ;18 125 356,00 ;12 787 295,70 ;0,00 ;0,00 ;0,102809935;0,045087632;0,031808969;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7722284474;"ГБУК г. Москвы ""Центр драматургии и режиссуры""";30 377 137,38 ;1 316 736,35 ;28 379 457,59 ;0,00 ;0,00 ;0,075564485;0,00327544;0,070595167;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704198381;"ГБУК г. Москвы ""Центр исполнительских искусств на Добрынинской""";49 669 145,13 ;12 422 606,40 ;21 558 230,87 ;0,00 ;0,00 ;0,123554216;0,030901788;0,053627062;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7714035227;"ГБУК г. Москвы ""Цыганский театр ""Ромэн""";22 896 502,97 ;231 950,00 ;22 676 081,00 ;0,00 ;0,00 ;0,056956073;0,000576986;0,056407764;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7702619852;"ГБУК г. Москвы ""Школа драматического искусства""";31 585 120,00 ;4 038 020,70 ;21 074 994,00 ;0,00 ;1 934 500,00 ;0,078569396;0,010044757;0,052424988;0;0,004812155;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704224472;"ГБУК г. Москвы ДДТ ""На набережной""";1 813 510,20 ;0,00 ;1 190 210,20 ;0,00 ;0,00 ;0,004511188;0;0,002960701;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7728039292;"ГБУК г. Москвы МДТ ""Бенефис""";3 131 771,92 ;3 000,00 ;3 398 371,60 ;0,00 ;0,00 ;0,007790422;7,46263E-06;0,008453601;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
