id;title;year;total value;fot value;transport value;rent value;gph value;events value;royalties value;total share;fot share;transport share;rent share;gph share;events share;royalties share;total avgShare;fot avgShare;transport avgShare;rent avgShare;gph avgShare;events avgShare;royalties avgShare
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";2024;53 294 822;27 161 060;268 648;0;2 706 613;730 310;1 115 516;1;0,509637889;0,00504079;0;0,050785665;0,013703207;0,020931037;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";2024;102 722 826;77 934 575;268 983;0;0;400 000;7 411 685;1;0,758687992;0,00261853;0;0;0,003893974;0,072152268;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";2024;219 917 981;76 308 894;4 669 188;107 483;8 532 162;0;21 780 706;1;0,346987969;0,021231498;0,00048874;0,03879702;0;0,099040132;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";2024;31 393 467;17 990 662;11 457;121 977;4 044 033;0;2 404 922;1;0,573070263;0,000364949;0,003885428;0,128817655;0;0,076605823;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";2024;230 816 404;135 566 237;0;720 000;7 587 535;0;0;1;0,587333633;0;0,003119362;0,032872599;0;0;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";2024;81 418 950;38 973 497;2 576 456;455 000;9 019 191;0;4 402 966;1;0,478678455;0,031644424;0,00558838;0,110775087;0;0,054077901;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7704198381;"ГБУК г. Москвы ""МТКМО ""Градский Холл""";2024;64 703 287;33 264 231;0;32 373;0;0;1 131 862;1;0,514104199;0;0,000500337;0;0;0,017493119;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";2024;59 804 221;42 094 143;333 267;113 057;0;0;10 474 065;1;0,703865748;0,005572634;0,00189045;0;0;0,17513923;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7710130279;"ГБУК г. Москвы ""МТЮЗ""";2024;254 269 479;162 570 053;1 882 755;175 876;15 134 999;0;27 516 740;1;0,639361255;0,007404567;0,000691692;0,05952346;0;0,108218808;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";2024;41 245 370;27 254 566;229 187;0;712 924;0;3 762 131;1;0,660790934;0,005556674;0;0,017284942;0;0,091213423;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";2024;6 862 388;1 556 864;126 069;0;2 652 590;0;773 044;1;0,226869106;0,01837101;0;0,386540365;0;0,112649458;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7710593781;"ГБУК г. Москвы ""Театр ""Практика""";2024;85 560 104;26 210 784;869 652;5 608 546;4 289 770;29 160 303;2 568 196;1;0,306343529;0,010164218;0,065550946;0,0501375;0,340816588;0,030016279;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";2024;137 437 809;78 360 239;0;0;11 012 050;0;21 010 545;1;0,570150525;0;0;0,080123878;0;0,152873111;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
