ID_театра;Название премьеры;Площадка;Дата начала;Дата окончания;Ссылка на премьеру
7703127934;Калоши счастья;Основная сцена;24.12.2025;25.12.2025;
7704224472;Черный обелиск. Осколки.;Основная сцена;10.10.2025;11.10.2025;
7704224472;Палата № 6;Новая сцена;27.09.2025;28.09.2025;https://nabereg.ru/repertoire/177/
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
